CAST                        ,,       20466017,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,GB-13601       ,,,
Originators Cruise ID       ,,740H20210202   ,,,
Latitude                    ,,      -52.63752,decimal degrees,,
Longitude                   ,,      -43.78090,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              2,,,
Day                         ,,              4,,,
Time                        ,,          19.10,decimal hours (UT),,
Accession Number            ,,         38589.,NODC code,,
Platform                    ,,          9058.,OCL code,RRS JAMES COOK  (R/V; call sign MLRM6; built 2006; IMO9338242),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3346.,meters,,
High resolution CTD - Bottle,,        389144.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       20466018,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,GB-13601       ,,,
Originators Cruise ID       ,,740H20210202   ,,,
Latitude                    ,,      -52.79586,decimal degrees,,
Longitude                   ,,      -40.10448,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              2,,,
Day                         ,,              5,,,
Time                        ,,          11.30,decimal hours (UT),,
Accession Number            ,,         38589.,NODC code,,
Platform                    ,,          9058.,OCL code,RRS JAMES COOK  (R/V; call sign MLRM6; built 2006; IMO9338242),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3746.,meters,,
High resolution CTD - Bottle,,        389177.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       20466019,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,GB-13601       ,,,
