Country,Total Net Electrical Capacity  [MW],Number of Reactors,Unnamed: 3
ARGENTINA,1641,3,
ARMENIA,416,1,
BELARUS,2220,2,
BELGIUM,3908,5,
BRAZIL,1884,2,
BULGARIA,2006,2,
CANADA,13699,19,
CHINA,54152,56,
CZECH REPUBLIC,3934,6,
FINLAND,4394,5,
FRANCE,61370,56,
HUNGARY,1916,4,
INDIA,6920,20,
"IRAN, ISLAMIC REPUBLIC OF",915,1,
JAPAN,11046,12,
"KOREA, REPUBLIC OF",25825,26,
MEXICO,1552,2,
"NETHERLANDS, KINGDOM OF THE",482,1,
PAKISTAN,3262,6,
ROMANIA,1300,2,
RUSSIA,26802,36,
SLOVAKIA,2308,5,
SLOVENIA,688,1,
SOUTH AFRICA,1854,2,
SPAIN,7123,7,
SWEDEN,6944,6,
SWITZERLAND,2973,4,
UKRAINE,13107,15,
UNITED ARAB EMIRATES,5321,4,
UNITED KINGDOM,5883,9,
UNITED STATES OF AMERICA,96952,94,
Total,373735,415,
